"","cell","Longitude(x)","Latitude(y)","Elaenia_cristata","Psittacanthus_robustus","Qualea_dichotoma","Qualea_grandiflora","Qualea_multiflora","Qualea_parviflora","Salvertia_convallariodora","Tersina_viridis","Thraupis_sayaca","Vochysia_cinnamomea","Vochysia_elliptica","Vochysia_rufa","Vochysia_thyrsoidea","Vochysia_tucanorum","bio1","bio12","bio14","bio15","bio18","bio19","bio2","bio4"
"753","753",-62.64,-9.166,0,0,0,1,0,1,0,0,0,0,0,0,0,0,25.1963710784912,2336.31640625,14.3393840789795,67.3334579467773,509.694519042969,164.745239257812,11.350830078125,45.8541030883789
"754","754",-61.64,-9.166,0,0,0,1,0,1,0,0,0,0,0,0,0,0,25.2448310852051,2250.5732421875,17.0527172088623,66.7090606689453,325.667938232422,154.849380493164,11.540828704834,41.645206451416
"755","755",-60.64,-9.166,0,0,0,1,0,1,0,0,0,0,0,0,0,0,25.4165534973145,2184.2861328125,10.4796876907349,70.1321487426758,279.750885009766,128.533233642578,11.4618005752563,39.979564666748
"756","756",-59.64,-9.166,0,0,0,1,0,1,0,0,0,0,0,0,0,0,25.6620712280273,2032.16455078125,8.2637186050415,70.9752426147461,260.243438720703,119.079055786133,11.421088218689,39.1586532592773
"757","757",-58.64,-9.166,0,0,0,1,0,1,0,0,0,0,0,0,0,0,25.6406879425049,1954.24523925781,6.63348960876465,71.2432708740234,258.417785644531,323.693939208984,11.4023876190186,38.4433364868164
"758","758",-57.64,-9.166,0,0,0,1,0,1,0,0,0,0,0,0,0,0,25.8990001678467,1982.76818847656,6.62987375259399,70.1030120849609,280.632476806641,879.718994140625,11.2518835067749,41.5667533874512
"759","759",-56.64,-9.166,0,0,0,1,0,1,0,0,0,0,0,0,0,0,26.391019821167,2117.52099609375,7.97618961334229,69.5716018676758,304.170776367188,936.863159179688,10.9159698486328,52.265697479248
"760","760",-55.64,-9.166,0,0,0,1,0,1,0,0,0,0,0,0,0,0,26.0555820465088,2218.95483398438,8.54179382324219,69.7371520996094,224.172225952148,961.460327148438,10.4201650619507,63.0570869445801
"761","761",-54.64,-9.166,0,0,0,1,0,1,0,0,0,0,0,0,0,0,25.698263168335,2173.53735351562,9.24615001678467,69.4306945800781,229.143020629883,945.098388671875,10.5788021087646,59.4606781005859
"762","762",-53.64,-9.166,0,0,0,1,0,1,0,0,0,0,0,0,0,0,25.8588542938232,2072.61499023438,8.54765796661377,71.0261459350586,369.192169189453,914.176330566406,11.1605567932129,40.5244979858398
